FID,LAK_ID,RES_ID,GLWD_ID,HYLAK_ID,GRAND_ID,INT_CODE,LAKE_NAME,COUNTRY,LONG_DD,LAT_DD,LisfloodX,LisfloodY,CATCH_SKM,CATCH_SRC,AREA_SKM,AREA_SRC,WIDTH_M,WIDTH_SRC,DISAVG_CMS,DIS_SRC
87,87,,1275,1028,,,Glubokoye,Russia,89.5729,69.3075,89.675,69.325,4065.3,HYLAK,124.3,HYLAK,5.4,GLOFAS4,106.9987,GLOFAS4_ltr
88,88,,1326,329,,,,Canada,-96.5537,62.8473,-96.625,62.875,2321.1,HYLAK,145.38,HYLAK,5.4,GLOFAS4,14.1161,GLOFAS4_ltr
89,89,,1327,1324,,,Kuyumazarskoye,Uzbekistan,64.7244,39.8154,64.775,39.825,1646.8,HYLAK,183.71,HYLAK,5.4,GLOFAS4,21.8212,GLOFAS4_ltr
90,90,,1335,1412,,,,China,118.288,32.9494,118.275,32.925,4974.2,HYLAK,145.36,HYLAK,666.9,GLOFAS4,135.5151,GLOFAS4_ltr
91,91,,1340,1070,,,Shuryshkarskiy,Russia,65.2979,65.9279,65.325,65.925,1765.8,HYLAK,221.96,HYLAK,5.4,GLOFAS4,13.8056,GLOFAS4_ltr
92,92,,1350,271,,,Luran,Canada,-93.1802,64.805,-92.925,64.825,7898.8,HYLAK,121.23,HYLAK,572.9,GLOFAS4,62.6865,GLOFAS4_ltr
93,93,,1358,1462,,,Futou,China,114.1813,30.0687,114.225,30.025,1228.8,HYLAK,101.95,HYLAK,5.4,GLOFAS4,37.7723,GLOFAS4_ltr
94,94,,1404,1418,,,Wabu,China,116.8403,32.5479,116.875,32.525,3847.3,HYLAK,140.94,HYLAK,5.4,GLOFAS4,72.5518,GLOFAS4_ltr
95,95,,1411,1120,,,,Russia,65.7927,62.3054,65.825,62.275,3605.3,HYLAK,161.75,HYLAK,5.4,GLOFAS4,36.9815,GLOFAS4_ltr
96,96,,1430,1396,,,Luoma,China,118.313,34.1156,118.275,34.125,47480.7,HYLAK,247.63,HYLAK,236.7,GLOFAS4,290.9874,GLOFAS4_ltr
